bairro,area_m2,quartos,preco,latitude,longitude,zona,preco_m2
Perdizes,154,2,788697,-23.645140334220663,-46.7187450962293,Sul,5121.41
Jardins,79,4,577462,-23.610161182014632,-46.7227044430695,Sul,7309.65
Lapa,66,2,533011,-23.631918885942678,-46.67486618102449,Norte,8075.92
Itaim Bibi,162,3,1181803,-23.63842064633484,-46.79185472205004,Leste,7295.08
Perdizes,111,4,615871,-23.572807977194895,-46.777496305722096,Leste,5548.39
Santo Amaro,133,3,1526438,-23.571204483990822,-46.75035335059936,Oeste,11476.98
Vila Mariana,161,1,375421,-23.611098098885098,-46.71934433415009,Leste,2331.81
Perdizes,266,2,1508937,-23.59110284698067,-46.71176483123767,Leste,5672.7
Lapa,135,1,1063305,-23.633986130286672,-46.747646020072644,Sul,7876.33
Itaim Bibi,190,1,970986,-23.6400023123398,-46.731814780411035,Sul,5110.45
Jardins,236,1,836524,-23.585342137930272,-46.65934096588228,Oeste,3544.59
Lapa,68,1,1119741,-23.573687055897448,-46.726875397315546,Centro,16466.78
Lapa,226,2,988710,-23.628052551524384,-46.77096054258492,Oeste,4374.82
Vila Mariana,149,1,1330991,-23.577480603554815,-46.718885981639545,Oeste,8932.83
Morumbi,189,2,1034268,-23.632261431851365,-46.65779348663314,Norte,5472.32
Itaim Bibi,238,2,1045091,-23.592373825364877,-46.767941729907605,Norte,4391.14
Moema,282,3,890916,-23.616754989929145,-46.680204567320395,Oeste,3159.28
Lapa,196,4,982916,-23.559553531383468,-46.688793125233204,Oeste,5014.88
Morumbi,125,4,1092341,-23.612385932467657,-46.67470595301484,Oeste,8738.73
Moema,58,2,486949,-23.595176767873724,-46.699532259730724,Leste,8395.67
Itaim Bibi,248,3,595544,-23.608660846317548,-46.763512725853296,Norte,2401.39
Pinheiros,77,2,1222979,-23.566801420774485,-46.72790787892559,Oeste,15882.84
Santo Amaro,255,2,1051260,-23.623687374494416,-46.68073219112261,Sul,4122.59
Morumbi,272,2,944805,-23.636279707754323,-46.781674511722805,Sul,3473.55
Tatuapé,177,3,1005530,-23.571673980009077,-46.78193727824273,Leste,5680.96
Pinheiros,101,4,1104275,-23.559571455552017,-46.7805867637569,Leste,10933.42
Santo Amaro,132,3,838072,-23.552363858604636,-46.68581943170723,Centro,6349.03
Vila Mariana,299,1,766509,-23.614197150044326,-46.71768590162715,Centro,2563.58
Perdizes,160,3,1058754,-23.610709403608876,-46.79774844842113,Centro,6617.21
Jardins,193,3,706488,-23.604669741271408,-46.7658018714465,Leste,3660.56
Tatuapé,166,3,1122476,-23.5731947096116,-46.65407511318383,Leste,6761.9
Vila Mariana,118,3,489225,-23.589090599590552,-46.659780688689075,Leste,4145.97
Itaim Bibi,148,4,1308747,-23.609447633518617,-46.719589706521845,Sul,8842.89
Vila Mariana,189,1,1141779,-23.599676685885917,-46.78638303087923,Leste,6041.16
Perdizes,74,4,1076809,-23.648778552021486,-46.73080526969291,Sul,14551.47
Itaim Bibi,229,4,1294807,-23.563643975255673,-46.72467187620514,Centro,5654.18
Tatuapé,172,3,1499642,-23.619514455404758,-46.66582105499349,Centro,8718.85
Perdizes,262,2,1304311,-23.590431876810428,-46.74851701570864,Centro,4978.29
Moema,277,2,447738,-23.592819961492562,-46.77331547409003,Oeste,1616.38
Jardins,102,4,616127,-23.621759776565817,-46.70706300112613,Oeste,6040.46
Tatuapé,200,4,812554,-23.619243615132437,-46.76634177763879,Norte,4062.77
Moema,193,3,1007827,-23.64912559937022,-46.794671498085116,Norte,5221.9
Santo Amaro,106,4,1155298,-23.562839428945413,-46.68056496886915,Norte,10899.04
Tatuapé,88,3,782277,-23.560410964938416,-46.72849944467921,Oeste,8889.51
Santo Amaro,158,2,1056030,-23.622433881712873,-46.693070693712684,Oeste,6683.73
Itaim Bibi,230,2,773385,-23.60783869170064,-46.768928162855076,Norte,3362.54
Moema,91,1,816545,-23.57741606665598,-46.73663900488217,Norte,8973.02
Jardins,235,2,578002,-23.5579419368989,-46.74518736263254,Leste,2459.58
Perdizes,216,4,723030,-23.558565824959643,-46.76968712394238,Norte,3347.36
Lapa,191,2,594495,-23.63941908746641,-46.70939557089937,Leste,3112.54
Vila Mariana,272,3,707238,-23.569186732471874,-46.787263510261056,Sul,2600.14
Pinheiros,171,2,1316093,-23.58233715621155,-46.72995433008692,Oeste,7696.45
Jardins,182,1,715180,-23.5726656402227,-46.6736932234253,Norte,3929.56
Moema,212,2,1789715,-23.585499630583193,-46.75438486772532,Oeste,8442.05
