bairro	populacao_2022	domicilios_total	perc_domicilios_ate2sm	renda_media_aprox
Bela Vista	60024	20000	45.3	3800
Bom Retiro	33520	15000	52.7	3500
Cambuci	45163	18000	40.2	4100
Consolação	53249			
Liberdade	66056			
República	60720			
Santa Cecília	80972			
Sé	23832			
Aricanduva	89574			
Carrão	84397			
Vila Formosa	92186			
Cidade Tiradentes	194177			
Ermelino Matarazzo	112333			
Ponte Rasa	89881			
Guaianases	109316			
Lajeado	164391			
Itaim Paulista	205295			
Vila Curuçá	140673			
Cidade Lider	136660			
Itaquera	210960			
José Bonifácio	128243			
Parque do Carmo	74677			
Água Rasa	85788			
Belém	55785			
Brás	38750			
Mooca	80880			
Pari	17359			
Tatuapé	98601			
Artur Alvim	95575			
Cangaíba	141172			
Penha	132452			
Vila Matilde	103558			
Iguatemi	149700			
São Mateus	155682			
São Rafael	148145			
Jardim Helena	129409			
São Miguel	81011			
Vila Jacuí	134189			
Sapopemba	266715			
São Lucas	138038			
Vila Prudente	105690			
Cachoeirinha	143366			
Casa Verde	80536			
Limão	82373			
Brasilândia	243273			
Freguesia do Ó	137240			
Jaçanã	87329			
Tremembé	196563			
Anhanguera	75360			
Perus	87723			
Jaraguá	211610			
Pirituba	179724			
São Domingos	88884			
Mandaqui	103665			
Santana	115689			
Tucuruvi	99559			
Vila Guilherme	52587			
Vila Maria	108543			
Vila Medeiros	114939			
Butantã	51715			
Morumbi	43690			
Raposo Tavares	117738			
Rio Pequeno	131631			
Vila Sônia	123748			
Barra Funda	33436			
Jaguara	24730			
Jaguaré	55382			
Lapa	75533			
Perdizes	102391			
Vila Leopoldina	46875			
Alto de Pinheiros	37359			
Itaim Bibi	101452			
Jardim Paulista	81859			
Pinheiros	65145			
Campo Limpo	236162			
Capão Redondo	270767			
Vila Andrade	168669			
Cidade Dutra	182459			
Grajaú	384873			
Socorro	38051			
Cidade Ademar	249218			
Pedreira	163586			
Cursino	103171			
Ipiranga	116271			
Sacomã	261436			
Jabaquara	214958			
Jardim Ângela	311432			
Jardim São Luís	259377			
Marsilac	11443			
Parelheiros	153695			
Campo Belo	71058			
Campo Grande	115925			
Santo Amaro	85349			
Moema	81899			
Saúde	128469			
Vila Mariana	127286			
